datetime,energy_kwh,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),weather_code (wmo code),wind_speed_10m (km/h),visibility (m),is_day ()
2025-12-01 00:00:00,,2.4,90,1.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,11.5,50000.0,0
2025-12-01 00:15:00,,2.5,90,1.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0,11.9,40020.0,0
2025-12-01 00:30:00,,2.6,89,1.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,12.2,30040.0,0
2025-12-01 00:45:00,,2.8,88,1.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,20060.0,0
2025-12-01 01:00:00,,2.9,88,1.1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.3,10080.0,0
2025-12-01 01:15:00,,2.9,88,1.1,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,13.7,9880.0,0
2025-12-01 01:30:00,,2.9,89,1.2,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,9680.0,0
2025-12-01 01:45:00,,2.8,89,1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0,14.4,9460.0,0
2025-12-01 02:00:00,,2.8,90,1.3,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0,14.8,9260.0,0
2025-12-01 02:15:00,,2.7,90,1.3,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,1,14.8,9040.0,0
2025-12-01 02:30:00,,2.7,91,1.4,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2,14.8,8820.0,0
2025-12-01 02:45:00,,2.6,91,1.3,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,3,14.8,8600.0,0
2025-12-01 03:00:00,,2.6,91,1.3,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,3,15.1,8380.0,0
2025-12-01 03:15:00,,2.6,91,1.3,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,3,15.8,8400.0,0
2025-12-01 03:30:00,,2.6,91,1.3,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,3,16.9,8420.0,0
2025-12-01 03:45:00,,2.6,91,1.3,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,3,17.6,8420.0,0
2025-12-01 04:00:00,,2.7,91,1.4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18.7,8440.0,0
2025-12-01 04:15:00,,2.8,91,1.5,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,3,19.4,18840.0,0
2025-12-01 04:30:00,,2.9,91,1.6,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20.5,29220.0,0
2025-12-01 04:45:00,,3.0,90,1.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.2,39620.0,0
2025-12-01 05:00:00,,3.1,90,1.6,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,3,21.6,50000.0,0
2025-12-01 05:15:00,,3.3,90,1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,3,22.0,50000.0,0
2025-12-01 05:30:00,,3.4,90,1.9,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,3,21.6,50000.0,0
2025-12-01 05:45:00,,3.6,89,2.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,3,21.6,50000.0,0
2025-12-01 06:00:00,,3.8,89,2.1,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,3,22.0,50000.0,0
2025-12-01 06:15:00,,3.9,88,2.1,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,3,22.7,40540.0,0
2025-12-01 06:30:00,,4.1,87,2.1,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,3,24.1,31060.0,0
2025-12-01 06:45:00,,4.2,86,2.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,3,25.2,21600.0,0
2025-12-01 07:00:00,,4.3,85,2.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,3,25.9,12120.0,0
2025-12-01 07:15:00,,4.3,85,2.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,3,26.3,21600.0,0
2025-12-01 07:30:00,,4.4,86,2.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,3,25.9,31060.0,1
2025-12-01 07:45:00,,4.4,87,2.5,-1.0,4.0,0.1,3.9,0.0,0.0,12.8,3,25.6,40540.0,1
2025-12-01 08:00:00,,4.5,88,2.7,-0.9,17.0,1.7,15.3,40.8,17.0,56.8,3,25.6,50000.0,1
2025-12-01 08:15:00,,4.6,88,2.8,-0.8,32.0,4.4,27.6,62.0,32.0,100.4,3,25.6,50000.0,1
2025-12-01 08:30:00,,4.7,88,2.9,-0.6,46.0,7.4,38.6,73.7,46.0,141.9,3,25.2,50000.0,1
2025-12-01 08:45:00,,4.9,87,2.9,-0.4,55.0,8.5,46.5,66.3,55.0,181.0,3,25.2,50000.0,1
2025-12-01 09:00:00,,5.0,87,3.0,-0.4,55.0,6.3,48.7,40.7,55.0,217.6,3,25.6,50000.0,1
2025-12-01 09:15:00,,5.1,86,2.9,-0.4,48.0,3.1,44.9,17.6,48.0,251.6,3,26.3,40560.0,1
2025-12-01 09:30:00,,5.1,86,3.0,-0.5,39.0,1.3,37.7,6.2,39.0,282.7,3,27.4,31120.0,1
2025-12-01 09:45:00,,5.2,85,2.9,-0.5,33.0,0.6,32.4,2.8,33.0,310.9,3,28.1,21660.0,1
2025-12-01 10:00:00,,5.3,85,3.0,-0.5,31.0,0.5,30.5,2.0,31.0,336.0,3,28.8,12220.0,1
2025-12-01 10:15:00,,5.3,86,3.2,-0.5,30.0,0.5,29.5,1.8,30.0,357.9,3,28.8,11560.0,1
2025-12-01 10:30:00,,5.4,87,3.4,-0.3,30.0,0.5,29.5,1.8,30.0,376.6,3,28.8,10880.0,1
2025-12-01 10:45:00,,5.5,88,3.6,-0.2,28.0,0.4,27.6,1.5,28.0,391.9,3,28.8,10220.0,1
2025-12-01 11:00:00,,5.6,89,3.9,-0.0,24.0,0.3,23.7,1.0,24.0,403.8,3,28.4,9540.0,1
2025-12-01 11:15:00,,5.7,90,4.2,0.1,20.0,0.2,19.8,0.7,20.0,412.2,53,28.4,13340.0,1
2025-12-01 11:30:00,,5.8,91,4.4,0.3,17.0,0.2,16.8,0.6,17.0,417.2,53,28.1,17160.0,1
2025-12-01 11:45:00,,5.9,92,4.7,0.5,16.0,0.2,15.8,0.5,16.0,418.6,53,28.1,20960.0,1
2025-12-01 12:00:00,,5.9,92,4.7,0.6,20.0,0.2,19.8,0.7,20.0,416.5,53,27.7,24760.0,1
2025-12-01 12:15:00,,6.0,92,4.8,0.7,24.0,0.3,23.7,1.1,24.0,410.8,51,27.4,22580.0,1
2025-12-01 12:30:00,,6.0,92,4.8,0.7,26.0,0.4,25.6,1.2,26.0,401.7,51,27.4,20420.0,1
2025-12-01 12:45:00,,6.0,91,4.6,0.7,25.0,0.3,24.7,1.1,25.0,389.1,51,27.0,18240.0,1
2025-12-01 13:00:00,,6.0,91,4.7,0.8,21.0,0.2,20.8,0.6,21.0,373.1,51,27.0,16060.0,1
2025-12-01 13:15:00,,6.1,91,4.8,1.0,15.0,0.0,15.0,0.2,15.0,353.8,53,26.6,17100.0,1
2025-12-01 13:30:00,,6.2,91,4.9,1.2,11.0,0.0,11.0,0.0,11.0,331.2,53,26.3,18140.0,1
2025-12-01 13:45:00,,6.3,92,5.1,1.3,8.0,0.0,8.0,0.0,8.0,305.4,53,26.3,19180.0,1
2025-12-01 14:00:00,,6.4,92,5.2,1.4,7.0,0.0,7.0,0.0,7.0,276.6,53,26.6,20220.0,1
2025-12-01 14:15:00,,6.5,92,5.3,1.3,7.0,0.0,7.0,0.0,7.0,244.9,51,27.7,27660.0,1
2025-12-01 14:30:00,,6.6,92,5.4,1.2,6.0,0.0,6.0,0.0,6.0,210.4,51,29.5,35120.0,1
2025-12-01 14:45:00,,6.7,92,5.5,1.1,4.0,0.0,4.0,0.0,4.0,173.3,51,31.0,42560.0,1
2025-12-01 15:00:00,,6.8,92,5.6,1.0,2.0,0.0,2.0,0.0,2.0,133.7,51,32.0,50000.0,1
2025-12-01 15:15:00,,6.8,92,5.6,1.0,1.0,0.0,1.0,0.0,1.0,91.7,51,32.0,50000.0,1
2025-12-01 15:30:00,,6.7,91,5.4,1.1,0.0,0.0,0.0,0.0,0.0,47.7,51,31.0,50000.0,1
2025-12-01 15:45:00,,6.6,90,5.1,1.0,0.0,0.0,0.0,0.0,0.0,6.7,51,30.2,50000.0,0
2025-12-01 16:00:00,,6.6,90,5.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,51,29.5,50000.0,0
2025-12-01 16:15:00,,6.5,90,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,29.5,50000.0,0
2025-12-01 16:30:00,,6.5,90,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,29.9,50000.0,0
