site,resolution,model,method,r2,mae_kwh,n_samples,best_variant
house1,quarterly,physics,time_split,0.1997,0.2526,22661,all
house1,quarterly,linear,time_split,0.7386,0.1333,22661,fair_lag
house1,quarterly,forest,time_split,0.618,0.1394,22661,fair
house1,quarterly,boosting,time_split,0.6085,0.1423,22661,all
house1,quarterly,physics,random,0.2415,0.225,22661,all
house1,quarterly,linear,random,0.6916,0.1293,22661,fair_lag
house1,quarterly,forest,random,0.8603,0.075,22661,fair_lag
house1,quarterly,boosting,random,0.8269,0.0869,22661,fair_lag
house1,quarterly,physics,ts_cv,0.083,0.2242,22661,all
house1,quarterly,linear,ts_cv,0.4783,0.1581,22661,fair_lag
house1,quarterly,forest,ts_cv,0.4915,0.1323,22661,fair_lag
house1,quarterly,boosting,ts_cv,0.5909,0.1249,22661,fair_lag
house1,daily,physics,time_split,0.6417,4.0081,418,all
house1,daily,linear,time_split,0.6521,3.9012,418,fair_lag
house1,daily,forest,time_split,0.5345,4.4846,418,fair_lag
house1,daily,boosting,time_split,0.4865,4.7527,418,fair_lag
house1,daily,physics,random,0.7815,3.7132,418,all
house1,daily,linear,random,0.8055,3.5393,418,fair
house1,daily,forest,random,0.8206,3.251,418,fair
house1,daily,boosting,random,0.8208,3.4213,418,fair
house1,daily,physics,ts_cv,0.154,4.2273,418,all
house1,daily,linear,ts_cv,-0.3367,5.008,418,fair
house1,daily,forest,ts_cv,0.2007,4.2198,418,all
house1,daily,boosting,ts_cv,-0.0628,4.6463,418,fair_lag
house2,quarterly,physics,time_split,0.2194,0.1158,27490,all
house2,quarterly,linear,time_split,0.7465,0.0591,27490,fair_lag
house2,quarterly,forest,time_split,0.7822,0.0484,27490,fair_lag
house2,quarterly,boosting,time_split,0.7801,0.0505,27490,fair_lag
house2,quarterly,physics,random,0.3144,0.1021,27490,all
house2,quarterly,linear,random,0.7575,0.0561,27490,fair_lag
house2,quarterly,forest,random,0.8807,0.0326,27490,fair_lag
house2,quarterly,boosting,random,0.8573,0.0373,27490,fair_lag
house2,quarterly,physics,ts_cv,0.2367,0.1036,27490,all
house2,quarterly,linear,ts_cv,0.7015,0.0583,27490,fair_lag
house2,quarterly,forest,ts_cv,0.7114,0.0498,27490,fair_lag
house2,quarterly,boosting,ts_cv,0.7065,0.052,27490,fair_lag
house2,daily,physics,time_split,0.731,1.5559,527,fair_lag
house2,daily,linear,time_split,0.7855,1.3008,534,fair
house2,daily,forest,time_split,0.7037,1.609,527,fair_lag
house2,daily,boosting,time_split,0.6864,1.7398,527,fair_lag
house2,daily,physics,random,0.8669,1.5143,527,fair_lag
house2,daily,linear,random,0.884,1.3057,527,fair_lag
house2,daily,forest,random,0.8842,1.2792,527,fair_lag
house2,daily,boosting,random,0.885,1.289,527,fair_lag
house2,daily,physics,ts_cv,0.6993,1.4481,534,all
house2,daily,linear,ts_cv,0.5741,1.6558,534,fair
house2,daily,forest,ts_cv,0.6582,1.416,527,fair_lag
house2,daily,boosting,ts_cv,0.6626,1.4702,527,fair_lag
reactor,quarterly,physics,time_split,0.6072,0.7607,18812,all
reactor,quarterly,linear,time_split,0.8494,0.4617,18812,fair_lag
reactor,quarterly,forest,time_split,0.8738,0.3572,18812,fair
reactor,quarterly,boosting,time_split,0.8647,0.4008,18812,fair
reactor,quarterly,physics,random,0.7141,0.4394,18812,all
reactor,quarterly,linear,random,0.8828,0.2621,18812,fair_lag
reactor,quarterly,forest,random,0.9449,0.1297,18812,fair_lag
reactor,quarterly,boosting,random,0.9441,0.1464,18812,fair_lag
reactor,quarterly,physics,ts_cv,0.6706,0.471,18812,all
reactor,quarterly,linear,ts_cv,0.8369,0.3066,18812,fair_lag
reactor,quarterly,forest,ts_cv,0.7921,0.2696,18812,fair_lag
reactor,quarterly,boosting,ts_cv,0.7822,0.2696,18812,fair_lag
reactor,daily,physics,time_split,0.362,22.5159,196,all
reactor,daily,linear,time_split,0.782,13.3186,196,fair_lag
reactor,daily,forest,time_split,0.3832,26.0092,196,fair_lag
reactor,daily,boosting,time_split,0.3164,26.4422,196,all
reactor,daily,physics,random,0.7416,15.4762,196,all
reactor,daily,linear,random,0.8879,9.5087,196,fair_lag
reactor,daily,forest,random,0.8407,11.2063,196,fair_lag
reactor,daily,boosting,random,0.8447,10.9997,196,all
reactor,daily,physics,ts_cv,0.2825,16.8461,196,all
reactor,daily,linear,ts_cv,-0.3527,15.2094,196,all
reactor,daily,forest,ts_cv,0.0307,19.0782,196,fair
reactor,daily,boosting,ts_cv,-0.3117,22.4805,196,fair_lag
