site,resolution,model,method,r2,mae_kwh,n_samples,best_variant
house1,daily,boosting,time_split,0.5795,4.6687,539,fair_lag
house1,daily,boosting,random,0.8916,2.5914,539,fair_lag
house1,daily,boosting,ts_cv,0.4854,4.1979,539,fair_lag
house1,daily,forest,time_split,0.4768,5.2306,539,fair_lag
house1,daily,forest,random,0.8872,2.5573,539,fair_lag
house1,daily,forest,ts_cv,0.5379,4.0465,539,fair_lag
house1,daily,linear,time_split,0.6861,4.0308,539,fair_lag
house1,daily,linear,random,0.8928,2.7516,539,fair_lag
house1,daily,linear,ts_cv,0.5064,4.1107,539,fair_lag
house1,daily,physics,time_split,0.4382,5.6707,539,fair_lag
house1,daily,physics,random,0.8322,4.2646,539,fair_lag
house1,daily,physics,ts_cv,0.2421,5.0763,539,fair_lag
house1,quarterly,boosting,time_split,0.7512,0.0925,44193,fair_lag
house1,quarterly,boosting,random,0.878,0.0459,44193,fair_lag
house1,quarterly,boosting,ts_cv,0.6676,0.0784,44193,fair_lag
house1,quarterly,forest,time_split,0.7205,0.0969,44193,fair_lag
house1,quarterly,forest,random,0.9006,0.039,44193,fair_lag
house1,quarterly,forest,ts_cv,0.6784,0.0781,44193,fair_lag
house1,quarterly,linear,time_split,0.7834,0.0977,44193,fair_lag
house1,quarterly,linear,random,0.7718,0.0726,44193,fair_lag
house1,quarterly,linear,ts_cv,0.6854,0.093,44193,fair_lag
house1,quarterly,physics,time_split,0.3789,0.1848,44201,all
house1,quarterly,physics,random,0.4235,0.135,44201,all
house1,quarterly,physics,ts_cv,0.3447,0.1444,44201,all
house2,daily,boosting,time_split,0.7689,1.6016,539,fair_lag
house2,daily,boosting,random,0.856,1.394,539,fair_lag
house2,daily,boosting,ts_cv,0.7175,1.3611,539,fair_lag
house2,daily,forest,time_split,0.7894,1.5203,539,fair_lag
house2,daily,forest,random,0.8591,1.3535,539,fair_lag
house2,daily,forest,ts_cv,0.7284,1.3603,539,fair_lag
house2,daily,linear,time_split,0.8125,1.3901,539,fair_lag
house2,daily,linear,random,0.8737,1.3561,539,fair_lag
house2,daily,linear,ts_cv,0.6175,1.5746,539,fair_lag
house2,daily,physics,time_split,0.7343,1.7198,539,fair_lag
house2,daily,physics,random,0.8309,1.7444,539,fair_lag
house2,daily,physics,ts_cv,0.6146,1.6205,539,fair_lag
house2,quarterly,boosting,time_split,0.8372,0.0337,48419,fair_lag
house2,quarterly,boosting,random,0.89,0.0216,48419,fair_lag
house2,quarterly,boosting,ts_cv,0.7661,0.0337,48419,fair_lag
house2,quarterly,forest,time_split,0.8378,0.0325,48419,fair_lag
house2,quarterly,forest,random,0.9062,0.019,48419,fair_lag
house2,quarterly,forest,ts_cv,0.7666,0.0327,48419,fair_lag
house2,quarterly,linear,time_split,0.8035,0.0405,48419,fair_lag
house2,quarterly,linear,random,0.8099,0.0332,48419,fair_lag
house2,quarterly,linear,ts_cv,0.7469,0.0377,48419,fair_lag
house2,quarterly,physics,time_split,0.4185,0.0814,48427,all
house2,quarterly,physics,random,0.4748,0.0645,48427,all
house2,quarterly,physics,ts_cv,0.399,0.0698,48427,all
reactor,daily,boosting,time_split,0.8095,13.2869,205,fair_lag
reactor,daily,boosting,random,0.9445,6.5746,205,fair_lag
reactor,daily,boosting,ts_cv,0.659,10.3528,205,fair_lag
reactor,daily,forest,time_split,0.7482,15.5003,205,fair_lag
reactor,daily,forest,random,0.938,6.5768,205,fair_lag
reactor,daily,forest,ts_cv,0.6131,11.1315,205,fair_lag
reactor,daily,linear,time_split,0.7381,14.8614,205,fair_lag
reactor,daily,linear,random,0.9363,7.2341,205,fair_lag
reactor,daily,linear,ts_cv,0.6198,11.6482,205,fair_lag
reactor,daily,physics,time_split,0.3696,23.2176,205,fair_lag
reactor,daily,physics,random,0.8942,12.006,205,fair_lag
reactor,daily,physics,ts_cv,0.4104,15.1511,205,fair_lag
reactor,quarterly,boosting,time_split,0.8616,0.3796,19348,fair_lag
reactor,quarterly,boosting,random,0.9451,0.1433,19348,fair_lag
reactor,quarterly,boosting,ts_cv,0.8245,0.2586,19348,fair_lag
reactor,quarterly,forest,time_split,0.8448,0.3905,19348,fair_lag
reactor,quarterly,forest,random,0.9497,0.1262,19348,fair_lag
reactor,quarterly,forest,ts_cv,0.8199,0.2607,19348,fair_lag
reactor,quarterly,linear,time_split,0.8457,0.4074,19348,fair_lag
reactor,quarterly,linear,random,0.8938,0.2297,19348,fair_lag
reactor,quarterly,linear,ts_cv,0.8438,0.2858,19348,fair_lag
reactor,quarterly,physics,time_split,0.5948,0.7622,19356,all
reactor,quarterly,physics,random,0.6985,0.4371,19356,all
reactor,quarterly,physics,ts_cv,0.6776,0.4579,19356,all
